Metric,VIX9D,VIX,VIX3M,VIX6M,VIX1Y,F,M,B,L
4/22/2013,14.85,14.39,15.66,17.4,19.61,1.032000,0.918900,0.827000,0.733800
4/23/2013,13.09,13.48,14.83,16.66,18.99,0.971100,0.909000,0.809100,0.709800
4/24/2013,13.32,13.61,14.97,16.71,18.96,0.978700,0.909200,0.814500,0.717800
4/25/2013,13,13.62,14.96,16.58,18.77,0.954500,0.910400,0.821500,0.725600
4/26/2013,12.85,13.61,14.89,16.54,18.49,0.944200,0.914000,0.822900,0.736100
4/29/2013,13.5,13.71,14.92,16.57,18.52,0.984700,0.918900,0.827400,0.740300
4/30/2013,13.37,13.52,14.78,16.48,18.44,0.988900,0.914700,0.820400,0.733200
5/1/2013,15.03,14.49,15.61,16.95,18.86,1.037300,0.928300,0.854900,0.768300
5/2/2013,13.03,13.59,14.87,16.55,18.62,0.958800,0.913900,0.821100,0.729900
5/3/2013,11.68,12.85,14.45,16.22,18.3,0.908900,0.889300,0.792200,0.702200
5/6/2013,11.64,12.66,14.31,16.04,18.25,0.919400,0.884700,0.789300,0.693700
5/7/2013,11.73,12.83,14.35,16.12,18.25,0.914300,0.894100,0.795900,0.703000
5/8/2013,11.27,12.66,14.4,16.12,18.16,0.890200,0.879200,0.785400,0.697100
5/9/2013,11.97,13.13,14.81,16.52,18.59,0.911700,0.886600,0.794800,0.706300
