Metric,VIX9D,VIX,VIX3M,VIX6M,VIX1Y,VIX9D/VIX Fast,VIX/VIX3M Med,VIX/VIX6M S,VIX/VIX1Y L
8/8/2016,10.1,11.5,15.16,17.53,19.95,87.83%,75.86%,65.60%,57.64%
8/9/2016,10.49,11.66,15.11,17.4,19.83,89.97%,77.17%,67.01%,58.80%
8/10/2016,10.68,12.05,15.41,17.58,19.89,88.63%,78.20%,68.54%,60.58%
8/11/2016,9.74,11.68,15.3,17.56,19.91,83.39%,76.34%,66.51%,58.66%
8/12/2016,9.54,11.55,15.26,17.62,19.92,82.60%,75.69%,65.55%,57.98%
8/15/2016,9.72,11.81,15.38,17.73,20.02,82.30%,76.79%,66.61%,58.99%
8/16/2016,10.87,12.64,16.02,18.18,20.42,86.00%,78.90%,69.53%,61.90%
8/17/2016,10.76,12.19,15.52,17.89,20.23,88.27%,78.54%,68.14%,60.26%
8/18/2016,9.9,11.43,15.16,17.7,20.15,86.61%,75.40%,64.58%,56.72%
8/19/2016,9.4,11.34,15.13,17.71,20.17,82.89%,74.95%,64.03%,56.22%
8/22/2016,10.95,12.27,15.5,17.9,20.29,89.24%,79.16%,68.55%,60.47%
8/23/2016,11.37,12.38,15.42,17.93,20.25,91.84%,80.29%,69.05%,61.14%
8/24/2016,12.67,13.45,16,18.27,20.44,94.20%,84.06%,73.62%,65.80%
8/25/2016,12.77,13.63,16.13,18.28,20.44,93.69%,84.50%,74.56%,66.68%
8/26/2016,12.1,13.65,16.24,18.42,20.52,88.64%,84.05%,74.10%,66.52%
8/29/2016,11.14,12.94,15.93,18.18,20.33,86.09%,81.23%,71.18%,63.65%
8/30/2016,11.21,13.12,16.03,18.29,20.37,85.44%,81.85%,71.73%,64.41%
8/31/2016,11.64,13.42,16.14,18.5,20.56,86.74%,83.15%,72.54%,65.27%
9/1/2016,11.89,13.48,16.31,18.56,20.64,88.20%,82.65%,72.63%,65.31%
9/2/2016,9.1,11.98,15.65,18.19,20.44,75.96%,76.55%,65.86%,58.61%
9/6/2016,9.98,12.02,15.56,18.03,20.26,83.03%,77.25%,66.67%,59.33%
9/7/2016,9.8,11.94,15.49,18.01,20.23,82.08%,77.08%,66.30%,59.02%
9/8/2016,10.99,12.51,15.81,18.31,20.41,87.85%,79.13%,68.32%,61.29%
9/9/2016,18.78,17.5,18.83,20.3,21.82,107.31%,92.94%,86.21%,80.20%
9/12/2016,16.03,15.16,17.27,19.12,21.1,105.74%,87.78%,79.29%,71.85%
9/13/2016,19.55,17.85,19.05,20.32,21.74,109.52%,93.70%,87.84%,82.11%
9/14/2016,19.38,18.14,19.35,20.75,22.03,106.84%,93.75%,87.42%,82.34%
9/15/2016,17,16.3,18.19,19.93,21.49,104.29%,89.61%,81.79%,75.85%
9/16/2016,15.27,15.37,17.88,19.58,21.43,99.35%,85.96%,78.50%,71.72%
9/19/2016,16.31,15.53,17.78,19.51,20.88,105.02%,87.35%,79.60%,74.38%
9/20/2016,17.22,15.92,17.99,19.65,21.14,108.17%,88.49%,81.02%,75.31%
9/21/2016,12.83,13.3,16.66,18.72,20.38,96.47%,79.83%,71.05%,65.26%
9/22/2016,10.79,12.02,15.94,18.2,20.12,89.77%,75.41%,66.04%,59.74%
9/23/2016,11.39,12.29,16.05,18.27,20.11,92.68%,76.57%,67.27%,61.11%
9/26/2016,15.67,14.5,17.28,18.99,20.7,108.07%,83.91%,76.36%,70.05%
9/27/2016,12.8,13.1,16.45,18.38,20.24,97.71%,79.64%,71.27%,64.72%
9/28/2016,11.72,12.39,16.01,18.13,20.07,94.59%,77.39%,68.34%,61.73%
9/29/2016,14.71,14.02,16.87,18.87,20.48,104.92%,83.11%,74.30%,68.46%
9/30/2016,12.37,13.29,16.37,18.44,20.29,93.08%,81.19%,72.07%,65.50%
10/3/2016,13,13.57,16.4,18.3,20.12,95.80%,82.74%,74.15%,67.45%
10/4/2016,12.95,13.63,16.47,18.33,20.16,95.01%,82.76%,74.36%,67.61%
10/5/2016,12.03,12.99,16.22,18.16,20.07,92.61%,80.09%,71.53%,64.72%
10/6/2016,11.47,12.84,16.07,18.06,19.92,89.33%,79.90%,71.10%,64.46%
10/7/2016,11.47,13.48,16.44,18.37,20.12,85.09%,82.00%,73.38%,67.00%
10/10/2016,10.81,13.38,15.95,18.05,19.91,80.79%,83.89%,74.13%,67.20%
10/11/2016,13.34,15.36,16.94,18.76,20.42,86.85%,90.67%,81.88%,75.22%
10/12/2016,13.16,15.91,17.02,18.91,20.47,82.72%,93.48%,84.14%,77.72%
10/13/2016,14.07,16.69,17.59,19.27,20.7,84.30%,94.88%,86.61%,80.63%
10/14/2016,12.94,16.12,17.42,19.14,20.63,80.27%,92.54%,84.22%,78.14%
10/17/2016,13.81,16.21,17.47,19.18,20.7,85.19%,92.79%,84.52%,78.31%
10/18/2016,12.45,15.28,16.92,18.86,20.5,81.48%,90.31%,81.02%,74.54%
10/19/2016,11.97,14.41,16.46,18.52,20.21,83.07%,87.55%,77.81%,71.30%
10/20/2016,11.07,13.75,16.23,18.37,20.08,80.51%,84.72%,74.85%,68.48%
10/21/2016,10.68,13.34,16.04,18.24,20.01,80.06%,83.17%,73.14%,66.67%
10/24/2016,11.35,13.02,15.61,17.98,19.77,87.17%,83.41%,72.41%,65.86%
10/25/2016,11.9,13.46,15.81,18.05,19.92,88.41%,85.14%,74.57%,67.57%
10/26/2016,12.58,14.24,16.25,18.35,20.1,88.34%,87.63%,77.60%,70.85%
10/27/2016,14.59,15.36,16.93,18.81,20.49,94.99%,90.73%,81.66%,74.96%
10/28/2016,16.69,16.19,17.37,19.03,20.57,103.09%,93.21%,85.08%,78.71%
10/31/2016,20.19,17.06,17.85,19.23,20.68,118.35%,95.57%,88.72%,82.50%
11/1/2016,22.86,18.56,18.74,19.88,21.15,123.17%,99.04%,93.36%,87.75%
11/2/2016,24.16,19.32,19.18,20.11,21.22,125.05%,100.73%,96.07%,91.05%
11/3/2016,27.9,22.08,20.7,21,21.7,126.36%,106.67%,105.14%,101.75%
11/4/2016,28.82,22.51,21.13,21.44,22.08,128.03%,106.53%,104.99%,101.95%
11/7/2016,24.67,18.71,18.15,19.24,20.59,131.85%,103.09%,97.25%,90.87%
11/8/2016,25.31,18.74,18.1,19.26,20.45,135.06%,103.54%,97.30%,91.64%
11/9/2016,15.36,14.38,16.28,18.09,19.6,106.82%,88.33%,79.49%,73.37%
11/10/2016,14.12,14.74,16.75,18.56,20.07,95.79%,88.00%,79.42%,73.44%
11/11/2016,12.84,14.17,16.49,18.45,20.01,90.61%,85.93%,76.80%,70.81%
11/14/2016,12.51,14.48,16.7,18.62,20.24,86.40%,86.71%,77.77%,71.54%
11/15/2016,10.64,13.37,15.75,18.03,19.78,79.58%,84.89%,74.15%,67.59%
11/16/2016,9.52,13.72,16.07,18.27,19.9,69.39%,85.38%,75.10%,68.94%
11/17/2016,9.38,13.35,15.64,17.96,19.81,70.26%,85.36%,74.33%,67.39%
11/18/2016,8.63,12.85,15.52,18.02,19.92,67.16%,82.80%,71.31%,64.51%
11/21/2016,10,12.42,15.32,17.82,19.7,80.52%,81.07%,69.70%,63.05%
11/22/2016,10.2,12.41,15.35,17.81,19.66,82.19%,80.85%,69.68%,63.12%
11/23/2016,10.06,12.43,15.43,17.86,19.68,80.93%,80.56%,69.60%,63.16%
11/25/2016,10.43,12.34,15.51,17.93,19.52,84.52%,79.56%,68.82%,63.22%
11/28/2016,12.86,13.15,16.02,18.2,19.95,97.79%,82.08%,72.25%,65.91%
11/29/2016,12.64,12.9,15.9,18.14,19.96,97.98%,81.13%,71.11%,64.63%
11/30/2016,13.23,13.33,16.1,18.25,19.91,99.25%,82.80%,73.04%,66.95%
12/1/2016,13.96,14.07,16.67,18.64,20.23,99.22%,84.40%,75.48%,69.55%
12/2/2016,13.64,14.12,16.78,18.75,20.26,96.60%,84.15%,75.31%,69.69%
12/5/2016,11.41,12.14,15.77,18.02,19.78,93.99%,76.98%,67.37%,61.38%
12/6/2016,10.84,11.79,15.48,17.84,19.69,91.94%,76.16%,66.09%,59.88%
12/7/2016,11.79,12.22,15.48,17.75,19.57,96.48%,78.94%,68.85%,62.44%
12/8/2016,12.92,12.64,15.72,17.95,19.73,102.22%,80.41%,70.42%,64.06%
12/9/2016,11.1,11.75,15.22,17.66,19.53,94.47%,77.20%,66.53%,60.16%
12/12/2016,12.25,12.64,15.73,17.85,19.73,96.91%,80.36%,70.81%,64.06%
12/13/2016,12.25,12.72,15.7,17.82,19.64,96.31%,81.02%,71.38%,64.77%
12/14/2016,12.84,13.19,15.87,17.91,19.67,97.35%,83.11%,73.65%,67.06%
12/15/2016,11.85,12.79,15.75,17.9,19.74,92.65%,81.21%,71.45%,64.79%
12/16/2016,10.67,12.2,15.57,17.77,19.72,87.46%,78.36%,68.66%,61.87%
12/19/2016,9.95,11.71,15.31,17.57,19.61,84.97%,76.49%,66.65%,59.71%
12/20/2016,9.85,11.45,15.14,17.52,19.59,86.03%,75.63%,65.35%,58.45%
12/21/2016,9.33,11.27,15.09,17.52,19.65,82.79%,74.69%,64.33%,57.35%
12/22/2016,9.34,11.43,15.29,17.69,19.74,81.71%,74.75%,64.61%,57.90%
12/23/2016,8.98,11.44,15.25,17.63,19.73,78.50%,75.02%,64.89%,57.98%
12/27/2016,10.22,11.99,15.36,17.64,19.67,85.24%,78.06%,67.97%,60.96%
12/28/2016,11.22,12.95,15.93,18.04,19.89,86.64%,81.29%,71.78%,65.11%
12/29/2016,11.64,13.37,16.16,18.22,19.99,87.06%,82.74%,73.38%,66.88%
12/30/2016,12.68,14.04,16.54,18.57,20.36,90.31%,84.89%,75.61%,68.96%
1/3/2017,11.99,12.85,15.56,17.77,19.74,93.31%,82.58%,72.31%,65.10%
1/4/2017,10.68,11.85,14.84,17.16,19.32,90.13%,79.85%,69.06%,61.34%
1/5/2017,9.95,11.67,14.7,17.03,19.15,85.26%,79.39%,68.53%,60.94%
1/6/2017,9.19,11.32,14.56,16.92,18.94,81.18%,77.75%,66.90%,59.77%
1/9/2017,9.44,11.56,14.63,17.04,19.02,81.66%,79.02%,67.84%,60.78%
1/10/2017,8.88,11.49,14.66,17.09,19.13,77.28%,78.38%,67.23%,60.06%
1/11/2017,8.88,11.26,14.47,16.97,19.19,78.86%,77.82%,66.35%,58.68%
1/12/2017,9.32,11.54,14.58,17.13,19.32,80.76%,79.15%,67.37%,59.73%
1/13/2017,8.99,11.23,14.54,17.16,19.4,80.05%,77.24%,65.44%,57.89%
1/17/2017,10.85,11.87,14.89,17.45,19.57,91.41%,79.72%,68.02%,60.65%
1/18/2017,11.29,12.48,14.94,17.41,19.4,90.46%,83.53%,71.68%,64.33%
1/19/2017,11.5,12.78,15.02,17.38,19.46,89.98%,85.09%,73.53%,65.67%
1/20/2017,9.72,11.54,14.49,17.07,19.21,84.23%,79.64%,67.60%,60.07%
1/23/2017,10.92,11.77,14.54,16.94,19.08,92.78%,80.95%,69.48%,61.69%
1/24/2017,10.08,11.07,13.87,16.25,18.2,91.06%,79.81%,68.12%,60.82%
1/25/2017,10.06,10.81,13.61,15.95,18.28,93.06%,79.43%,67.77%,59.14%
1/26/2017,9.71,10.63,13.63,16.07,18.44,91.35%,77.99%,66.15%,57.65%
1/27/2017,9.36,10.58,13.68,16.21,18.65,88.47%,77.34%,65.27%,56.73%
1/30/2017,11.66,11.88,14.41,16.63,18.95,98.15%,82.44%,71.44%,62.69%
1/31/2017,11.77,11.99,14.48,16.7,18.88,98.17%,82.80%,71.80%,63.51%
2/1/2017,12.04,11.81,14.29,16.53,18.72,101.95%,82.65%,71.45%,63.09%
2/2/2017,11.16,11.93,14.59,16.65,18.57,93.55%,81.77%,71.65%,64.24%
2/3/2017,9.19,10.97,14.05,16.27,18.44,83.77%,78.08%,67.42%,59.49%
2/6/2017,10.17,11.37,14.24,16.41,18.42,89.45%,79.85%,69.29%,61.73%
2/7/2017,9.47,11.29,14.35,16.44,18.43,83.88%,78.68%,68.67%,61.26%
2/8/2017,9.6,11.45,14.56,16.6,18.52,83.84%,78.64%,68.98%,61.83%
2/9/2017,8.85,10.88,14.17,16.35,18.31,81.34%,76.78%,66.54%,59.42%
2/10/2017,9.02,10.85,13.91,16.17,18.16,83.13%,78.00%,67.10%,59.75%
2/13/2017,9.32,11.07,13.68,15.91,17.92,84.19%,80.92%,69.58%,61.77%
2/14/2017,8.94,10.74,13.19,15.44,17.63,83.24%,81.43%,69.56%,60.92%
2/15/2017,10.26,11.97,13.41,15.43,17.8,85.71%,89.26%,77.58%,67.25%
2/16/2017,10.02,11.76,13.63,15.68,17.75,85.20%,86.28%,75.00%,66.25%
2/17/2017,9.03,11.49,13.72,15.79,17.87,78.59%,83.75%,72.77%,64.30%
2/21/2017,10.22,11.57,14.04,15.99,17.95,88.33%,82.41%,72.36%,64.46%
2/22/2017,10.39,11.74,14.39,16.25,18.05,88.50%,81.58%,72.25%,65.04%
2/23/2017,10.15,11.71,14.74,16.54,18.15,86.68%,79.44%,70.80%,64.52%
2/24/2017,9.41,11.47,14.76,16.68,18.16,82.04%,77.71%,68.76%,63.16%
2/27/2017,10.83,12.09,14.91,16.62,18.19,89.58%,81.09%,72.74%,66.47%
2/28/2017,11.89,12.92,15.28,16.95,18.48,92.03%,84.55%,76.22%,69.91%
3/1/2017,10.57,12.54,14.86,16.62,18.33,84.29%,84.39%,75.45%,68.41%
3/2/2017,9.6,11.81,14.77,16.63,18.24,81.29%,79.96%,71.02%,64.75%
3/3/2017,8.56,10.96,14.26,16.25,18.03,78.10%,76.86%,67.45%,60.79%
3/6/2017,9.67,11.24,14.34,16.32,18.09,86.03%,78.38%,68.87%,62.13%
3/7/2017,10.23,11.45,14.41,16.38,18.16,89.34%,79.46%,69.90%,63.05%
3/8/2017,10.91,11.86,14.54,16.41,18.15,91.99%,81.57%,72.27%,65.34%
3/9/2017,11.78,12.3,14.78,16.62,18.26,95.77%,83.22%,74.01%,67.36%
3/10/2017,10.67,11.66,14.38,16.33,18.03,91.51%,81.08%,71.40%,64.67%
3/13/2017,10.78,11.35,14.36,16.27,18.05,94.98%,79.04%,69.76%,62.88%
3/14/2017,11.78,12.3,14.63,16.4,18.11,95.77%,84.07%,75.00%,67.92%
3/15/2017,10.76,11.63,14.2,16.13,17.95,92.52%,81.90%,72.10%,64.79%
3/16/2017,9.74,11.21,13.78,15.78,17.78,86.89%,81.35%,71.04%,63.05%
3/17/2017,9.87,11.28,13.92,15.85,17.83,87.50%,81.03%,71.17%,63.26%
3/20/2017,10.23,11.34,13.9,15.86,17.31,90.21%,81.58%,71.50%,65.51%
3/21/2017,14.23,12.47,14.62,16.43,17.77,114.11%,85.29%,75.90%,70.17%
3/22/2017,14.51,12.81,14.68,16.4,17.74,113.27%,87.26%,78.11%,72.21%
3/23/2017,15.14,13.12,14.91,16.52,17.86,115.40%,87.99%,79.42%,73.46%
3/24/2017,13.43,12.96,14.55,16.28,17.66,103.63%,89.07%,79.61%,73.39%
3/27/2017,12.12,12.5,14.23,15.99,17.51,96.96%,87.84%,78.17%,71.39%
3/28/2017,10.51,11.53,13.68,15.4,17.15,91.15%,84.28%,74.87%,67.23%
3/29/2017,10.08,11.42,13.43,15.19,16.96,88.27%,85.03%,75.18%,67.33%
3/30/2017,9.58,11.54,13.37,15.09,16.87,83.02%,86.31%,76.47%,68.41%
3/31/2017,9.66,12.37,13.6,15.25,16.95,78.09%,90.96%,81.11%,72.98%
4/3/2017,10.16,12.38,13.67,15.27,16.9,82.07%,90.56%,81.07%,73.25%
4/4/2017,9.51,11.79,13.37,14.94,16.75,80.66%,88.18%,78.92%,70.39%
4/5/2017,11.89,12.89,14.12,15.45,17.01,92.24%,91.29%,83.43%,75.78%
4/6/2017,10.27,12.39,13.66,15.13,16.79,82.89%,90.70%,81.89%,73.79%
4/7/2017,10.06,12.87,14.06,15.44,17.03,78.17%,91.54%,83.35%,75.57%
4/10/2017,10.36,14.05,14.58,15.83,17.25,73.74%,96.36%,88.76%,81.45%
4/11/2017,10.54,15.07,15.16,16.19,17.44,69.94%,99.41%,93.08%,86.41%
4/12/2017,10.91,15.77,15.28,16.29,17.29,69.18%,103.21%,96.81%,91.21%
4/13/2017,12.75,15.96,15.75,16.57,17.71,79.89%,101.33%,96.32%,90.12%
4/17/2017,13.44,14.66,14.86,16.06,17.45,91.68%,98.65%,91.28%,84.01%
4/18/2017,14.2,14.42,14.76,16.02,17.5,98.47%,97.70%,90.01%,82.40%
4/19/2017,16.2,14.93,15.08,16.21,17.51,108.51%,99.01%,92.10%,85.27%
4/20/2017,15.83,14.15,14.53,15.76,17.2,111.87%,97.38%,89.78%,82.27%
4/21/2017,17.09,14.63,14.75,15.93,17.28,116.81%,99.19%,91.84%,84.66%
4/24/2017,9.96,10.84,12.9,14.72,16.65,91.88%,84.03%,73.64%,65.11%
4/25/2017,9.8,10.76,12.85,14.62,16.55,91.08%,83.74%,73.60%,65.02%
4/26/2017,9.79,10.85,12.98,14.77,16.61,90.23%,83.59%,73.46%,65.32%
4/27/2017,9.24,10.36,12.8,14.7,16.6,89.19%,80.94%,70.48%,62.41%
4/28/2017,9.42,10.82,12.93,14.74,16.7,87.06%,83.68%,73.41%,64.79%
5/1/2017,9.49,10.11,12.63,14.48,16.35,93.87%,80.05%,69.82%,61.83%
5/2/2017,10.49,10.59,12.83,14.66,16.45,99.06%,82.54%,72.24%,64.38%
5/3/2017,10.78,10.68,13.09,14.87,16.62,100.94%,81.59%,71.82%,64.26%
5/4/2017,11.04,10.46,12.83,14.71,16.67,105.54%,81.53%,71.11%,62.75%
5/5/2017,11.44,10.57,12.85,14.65,16.45,108.23%,82.26%,72.15%,64.26%
5/8/2017,9.09,9.77,12.59,14.64,16.54,93.04%,77.60%,66.73%,59.07%
5/9/2017,9.31,9.96,12.71,14.72,16.77,93.47%,78.36%,67.66%,59.39%
5/10/2017,9.43,10.21,12.91,14.88,16.72,92.36%,79.09%,68.62%,61.06%
5/11/2017,10.35,10.6,13.01,14.99,16.88,97.64%,81.48%,70.71%,62.80%
5/12/2017,9.4,10.4,12.97,15.1,17.14,90.38%,80.19%,68.87%,60.68%
5/15/2017,9.16,10.42,12.78,14.97,16.95,87.91%,81.53%,69.61%,61.47%
5/16/2017,8.96,10.65,12.65,14.97,17.01,84.13%,84.19%,71.14%,62.61%
5/17/2017,20.17,15.59,15.6,16.8,18.27,129.38%,99.94%,92.80%,85.33%
5/18/2017,16.67,14.66,14.97,16.42,18.02,113.71%,97.93%,89.28%,81.35%
5/19/2017,10.98,12.04,13.49,15.57,17.55,91.20%,89.25%,77.33%,68.60%
5/22/2017,9.39,10.93,12.96,15.25,17.28,85.91%,84.34%,71.67%,63.25%
5/23/2017,9.32,10.72,12.9,15.16,17.13,86.94%,83.10%,70.71%,62.58%
5/24/2017,8.56,10.02,12.59,14.9,16.97,85.43%,79.59%,67.25%,59.05%
5/25/2017,8.12,9.99,12.51,14.82,16.87,81.28%,79.86%,67.41%,59.22%
5/26/2017,7.6,9.81,12.44,14.84,16.98,77.47%,78.86%,66.11%,57.77%
5/30/2017,9.04,10.38,12.74,15.03,17.14,87.09%,81.48%,69.06%,60.56%
5/31/2017,8.71,10.41,12.63,14.94,17.18,83.67%,82.42%,69.68%,60.59%
6/1/2017,8.5,9.89,12.42,14.83,17.12,85.95%,79.63%,66.69%,57.77%
6/2/2017,8.47,9.75,12.46,14.88,17.04,86.87%,78.25%,65.52%,57.22%
6/5/2017,9.69,10.07,12.85,15.08,17.15,96.23%,78.37%,66.78%,58.72%
6/6/2017,10.39,10.45,13.08,15.3,17.38,99.43%,79.89%,68.30%,60.13%
6/7/2017,10.13,10.39,13.09,15.27,17.31,97.50%,79.37%,68.04%,60.02%
6/8/2017,9.62,10.16,12.76,15.01,17.07,94.69%,79.62%,67.69%,59.52%
6/9/2017,10.37,10.7,12.96,15.17,17.23,96.92%,82.56%,70.53%,62.10%
6/12/2017,11.35,11.46,13.3,15.32,17.3,99.04%,86.17%,74.80%,66.24%
6/13/2017,9.35,10.42,12.73,14.96,17.23,89.73%,81.85%,69.65%,60.48%
6/14/2017,9.91,10.64,12.77,14.94,17.25,93.14%,83.32%,71.22%,61.68%
6/15/2017,10.14,10.9,12.91,15.07,17.18,93.03%,84.43%,72.33%,63.45%
6/16/2017,8.33,10.38,12.71,14.87,17.3,80.25%,81.67%,69.80%,60.00%
6/19/2017,8.52,10.37,12.4,14.49,16.97,82.16%,83.63%,71.57%,61.11%
6/20/2017,9.42,10.86,12.69,14.66,17.01,86.74%,85.58%,74.08%,63.84%
6/21/2017,9.56,10.75,12.76,14.73,17.03,88.93%,84.25%,72.98%,63.12%
6/22/2017,9.23,10.48,12.62,14.65,16.87,88.07%,83.04%,71.54%,62.12%
6/23/2017,8.38,10.02,12.36,14.49,16.83,83.63%,81.07%,69.15%,59.54%
6/26/2017,8.7,9.9,12.27,14.28,16.76,87.88%,80.68%,69.33%,59.07%
6/27/2017,10.5,11.06,12.96,14.78,17.09,94.94%,85.34%,74.83%,64.72%
6/28/2017,8.49,10.03,12.4,14.44,16.82,84.65%,80.89%,69.46%,59.63%
6/29/2017,11.37,11.44,13.15,14.88,16.98,99.39%,87.00%,76.88%,67.37%
6/30/2017,9.93,11.18,13.14,14.86,17.12,88.82%,85.08%,75.24%,65.30%
7/3/2017,10.21,11.22,13.31,14.96,13.31,91.00%,84.30%,75.00%,84.30%
7/5/2017,9.65,11.07,13.31,14.94,17.02,87.17%,83.17%,74.10%,65.04%
7/6/2017,11.53,12.54,14.11,15.48,17.32,91.95%,88.87%,81.01%,72.40%
7/7/2017,9.26,11.19,13.52,15.11,17.09,82.75%,82.77%,74.06%,65.48%
7/10/2017,9.9,11.11,13.35,14.9,17.04,89.11%,83.22%,74.56%,65.20%
7/11/2017,9.37,10.89,13.16,14.74,16.89,86.04%,82.75%,73.88%,64.48%
7/12/2017,8.06,10.3,12.78,14.48,16.63,78.25%,80.59%,71.13%,61.94%
7/13/2017,8.01,9.9,12.55,14.32,16.47,80.91%,78.88%,69.13%,60.11%
7/14/2017,7.55,9.51,12.23,14.01,16.17,79.39%,77.76%,67.88%,58.81%
7/17/2017,8.39,9.82,12.28,14.04,16.17,85.44%,79.97%,69.94%,60.73%
7/18/2017,8.44,9.89,12.25,14.04,16.22,85.34%,80.73%,70.44%,60.97%
7/19/2017,7.85,9.79,12,13.91,16.07,80.18%,81.58%,70.38%,60.92%
7/20/2017,7.69,9.58,12.04,13.9,16.06,80.27%,79.57%,68.92%,59.65%
7/21/2017,7.1,9.36,12.06,13.89,16,75.85%,77.61%,67.39%,58.50%
7/24/2017,7.64,9.43,12.04,13.82,15.95,81.02%,78.32%,68.23%,59.12%
7/25/2017,7.87,9.43,12.05,13.75,15.83,83.46%,78.26%,68.58%,59.57%
7/26/2017,8.07,9.6,12.11,13.79,15.77,84.06%,79.27%,69.62%,60.88%
7/27/2017,9.03,10.11,12.42,13.87,15.76,89.32%,81.40%,72.89%,64.15%
7/28/2017,8.55,10.29,12.58,13.96,15.86,83.09%,81.80%,73.71%,64.88%
7/31/2017,9.43,10.26,12.47,13.94,15.8,91.91%,82.28%,73.60%,64.94%
8/1/2017,8.93,10.09,12.4,13.76,15.56,88.50%,81.37%,73.33%,64.85%
8/2/2017,8.68,10.28,12.56,13.92,15.69,84.44%,81.85%,73.85%,65.52%
8/3/2017,9.31,10.44,12.74,14.15,15.91,89.18%,81.95%,73.78%,65.62%
8/4/2017,8.58,10.03,12.75,14.25,16.01,85.54%,78.67%,70.39%,62.65%
8/7/2017,8.43,9.93,12.66,14.16,16.12,84.89%,78.44%,70.13%,61.60%
8/8/2017,10.5,10.96,13.2,14.6,16.33,95.80%,83.03%,75.07%,67.12%
8/9/2017,10.72,11.11,13.49,14.89,16.43,96.49%,82.36%,74.61%,67.62%
8/10/2017,17.83,16.04,16.21,16.74,17.69,111.16%,98.95%,95.82%,90.67%
8/11/2017,15.53,15.51,16.39,16.86,17.84,100.13%,94.63%,91.99%,86.94%
8/14/2017,11.63,12.33,13.92,15.18,16.69,94.32%,88.58%,81.23%,73.88%
8/15/2017,10.41,12.04,13.9,15.11,16.56,86.46%,86.62%,79.68%,72.71%
8/16/2017,9.73,11.74,13.58,14.92,16.47,82.88%,86.45%,78.69%,71.28%
8/17/2017,15.77,15.55,16.14,16.5,17.4,101.41%,96.34%,94.24%,89.37%
8/18/2017,13.17,14.26,15.65,16.38,17.25,92.36%,91.12%,87.06%,82.67%
8/21/2017,12.48,13.19,14.99,15.92,17.06,94.62%,87.99%,82.85%,77.32%
8/22/2017,9.92,11.35,13.63,14.99,16.53,87.40%,83.27%,75.72%,68.66%
8/23/2017,11.14,12.25,14.33,15.53,16.93,90.94%,85.48%,78.88%,72.36%
8/24/2017,10.33,12.23,14.39,15.63,17.02,84.46%,84.99%,78.25%,71.86%
8/25/2017,8.97,11.28,13.99,15.42,16.96,79.52%,80.63%,73.15%,66.51%
8/28/2017,9.45,11.32,13.99,15.41,16.99,83.48%,80.91%,73.46%,66.63%
8/29/2017,9.81,11.7,14.12,15.52,17.11,83.85%,82.86%,75.39%,68.38%
8/30/2017,9.15,11.22,14.14,15.6,17.14,81.55%,79.35%,71.92%,65.46%
8/31/2017,8.66,10.59,13.8,15.46,17.14,81.78%,76.74%,68.50%,61.79%
9/1/2017,7.94,10.13,13.59,15.33,17.01,78.38%,74.54%,66.08%,59.55%
9/5/2017,11.34,12.23,14.58,16.05,17.44,92.72%,83.88%,76.20%,70.13%
9/6/2017,10.22,11.63,14.4,16.02,17.44,87.88%,80.76%,72.60%,66.69%
9/7/2017,9.75,11.55,14.32,15.98,17.4,84.42%,80.66%,72.28%,66.38%
9/8/2017,11.29,12.12,14.69,16.37,17.8,93.15%,82.51%,74.04%,68.09%
9/11/2017,9.01,10.73,13.86,15.77,17.37,83.97%,77.42%,68.04%,61.77%
9/12/2017,9.25,10.58,13.56,15.49,17.25,87.43%,78.02%,68.30%,61.33%
9/13/2017,9.38,10.5,13.23,15.22,17.09,89.33%,79.37%,68.99%,61.44%
9/14/2017,9.29,10.44,13.16,15.2,17.13,88.98%,79.33%,68.68%,60.95%
9/15/2017,8.3,10.17,12.96,15.09,17.13,81.61%,78.47%,67.40%,59.37%
9/18/2017,8.72,10.15,12.69,14.84,16.69,85.91%,79.98%,68.40%,60.81%
9/19/2017,9.09,10.18,12.73,14.85,16.76,89.29%,79.97%,68.55%,60.74%
9/20/2017,8.95,9.78,12.66,14.71,16.58,91.51%,77.25%,66.49%,58.99%
9/21/2017,8.44,9.67,12.66,14.8,16.71,87.28%,76.38%,65.34%,57.87%
9/22/2017,7.98,9.59,12.85,14.97,17.23,83.21%,74.63%,64.06%,55.66%
9/25/2017,9.21,10.21,13.06,15.14,16.96,90.21%,78.18%,67.44%,60.20%
9/26/2017,9.34,10.17,13.02,15.1,16.98,91.84%,78.11%,67.35%,59.89%
9/27/2017,9.03,9.87,12.91,15.04,16.92,91.49%,76.45%,65.63%,58.33%
9/28/2017,8.39,9.55,12.76,14.93,16.84,87.85%,74.84%,63.97%,56.71%
9/29/2017,7.95,9.51,12.49,14.81,16.64,83.60%,76.14%,64.21%,57.15%
10/2/2017,8.18,9.45,12.36,14.57,16.45,86.56%,76.46%,64.86%,57.45%
10/3/2017,8.04,9.51,12.31,14.46,16.4,84.54%,77.25%,65.77%,57.99%
10/4/2017,8.02,9.63,12.38,14.44,16.28,83.28%,77.79%,66.69%,59.15%
10/5/2017,7.81,9.19,12.18,14.25,16.34,84.98%,75.45%,64.49%,56.24%
10/6/2017,7.88,9.65,12.44,14.59,16.49,81.66%,77.57%,66.14%,58.52%
10/9/2017,9.34,10.33,12.73,14.94,16.68,90.42%,81.15%,69.14%,61.93%
